Hora,Vía,Cantidad de Vehículos
00:00,Entrada_Norte_A,12
00:00,Salida_Norte_A,18
00:00,Entrada_Oeste_A,3
00:00,Salida_Oeste_A,5
00:00,Entrada_Norte_B,2
00:00,Salida_Norte_B,13
00:00,Entrada_Este_B,4
00:00,Salida_Este_B,10
00:00,Entrada_Oeste_C,2
00:00,Salida_Oeste_C,8
00:00,Entrada_Sur_C,16
00:00,Salida_Sur_C,13
00:00,Entrada_Sur_D,12
00:00,Salida_Sur_D,18
00:00,Entrada_Este_D,3
00:00,Salida_Este_D,2
00:00,Via_AE_BO,0
00:00,Via_BO_AE,7
00:00,Via_AS_CN,4
00:00,Via_CN_AS,1
00:00,Via_BS_DN,10
00:00,Via_DN_BS,9
00:00,Via_DO_CE,11
00:00,Via_CE_DO,5
00:01,Entrada_Norte_A,17
00:01,Salida_Norte_A,17
00:01,Entrada_Oeste_A,11
00:01,Salida_Oeste_A,15
00:01,Entrada_Norte_B,3
00:01,Salida_Norte_B,9
00:01,Entrada_Este_B,0
00:01,Salida_Este_B,14
00:01,Entrada_Oeste_C,1
00:01,Salida_Oeste_C,4
00:01,Entrada_Sur_C,13
00:01,Salida_Sur_C,4
00:01,Entrada_Sur_D,5
00:01,Salida_Sur_D,0
00:01,Entrada_Este_D,5
00:01,Salida_Este_D,0
00:01,Via_AE_BO,10
00:01,Via_BO_AE,5
00:01,Via_AS_CN,9
00:01,Via_CN_AS,11
00:01,Via_BS_DN,13
00:01,Via_DN_BS,13
00:01,Via_DO_CE,4
00:01,Via_CE_DO,10
00:02,Entrada_Norte_A,5
00:02,Salida_Norte_A,13
00:02,Entrada_Oeste_A,16
00:02,Salida_Oeste_A,8
00:02,Entrada_Norte_B,1
00:02,Salida_Norte_B,11
00:02,Entrada_Este_B,12
00:02,Salida_Este_B,5
00:02,Entrada_Oeste_C,7
00:02,Salida_Oeste_C,15
00:02,Entrada_Sur_C,2
00:02,Salida_Sur_C,7
00:02,Entrada_Sur_D,9
00:02,Salida_Sur_D,2
00:02,Entrada_Este_D,5
00:02,Salida_Este_D,6
00:02,Via_AE_BO,2
00:02,Via_BO_AE,11
00:02,Via_AS_CN,13
00:02,Via_CN_AS,7
00:02,Via_BS_DN,1
00:02,Via_DN_BS,3
00:02,Via_DO_CE,11
00:02,Via_CE_DO,4
00:03,Entrada_Norte_A,5
00:03,Salida_Norte_A,9
00:03,Entrada_Oeste_A,12
00:03,Salida_Oeste_A,16
00:03,Entrada_Norte_B,0
00:03,Salida_Norte_B,10
00:03,Entrada_Este_B,7
00:03,Salida_Este_B,0
00:03,Entrada_Oeste_C,10
00:03,Salida_Oeste_C,14
00:03,Entrada_Sur_C,0
00:03,Salida_Sur_C,0
00:03,Entrada_Sur_D,15
00:03,Salida_Sur_D,2
00:03,Entrada_Este_D,13
00:03,Salida_Este_D,0
00:03,Via_AE_BO,18
00:03,Via_BO_AE,4
00:03,Via_AS_CN,6
